{'model': 'vgae', 'task': 'train', 'dataset': 'dblp', 'dgl_data': False, 'device': 'cuda', 'seed': 0, 'epochs': 200, 'print_every': 1, 'save_every': -1, 'lr': 0.001, 'weight_decay': 0.0005, 'hidden': 64, 'patience': 20, 'warmup': 50, 'dropout': 0.0, 'kd_temp': 4, 'kd_lambda': 0.5, 'hidden_vgae': 256, 'latent_size': 32, 'hgr_steps_per_epoch': 10, 'lambda_hgr': 0.5, 'hidden_hgr': 512, 'channels': 8, 'lambda_dd': 0.1, 'alpha': 0.1, 'beta': 1.0, 'gamma': 5.0, 'adv_steps_per_epoch': 2, 'mask_warmup': 0.4}
--- Starting train VGAE on dblp ---
Starting Stage 1 (VGAE) training on dblp...
Epoch 38 | Train Loss: 7.1148 | Val Loss: 7.7287 | LS: 0.0313 | LX: 4.5183 | LA: 1.5651 | HGR: -0.0940 | KL: 6.2068 | Ent: -0.1213 | Time: 0.09s
Epoch 39 | Train Loss: 7.0428 | Val Loss: 7.6954 | LS: 0.0294 | LX: 4.5068 | LA: 1.5570 | HGR: 0.0405 | KL: 5.5623 | Ent: -0.1194 | Time: 0.09s
Epoch 40 | Train Loss: 6.9535 | Val Loss: 7.4494 | LS: 0.0261 | LX: 4.5021 | LA: 1.5494 | HGR: -0.0284 | KL: 5.4065 | Ent: -0.1084 | Time: 0.09s
Epoch 41 | Train Loss: 6.8804 | Val Loss: 7.3896 | LS: 0.0245 | LX: 4.4938 | LA: 1.5421 | HGR: 0.0140 | KL: 4.9300 | Ent: -0.1030 | Time: 0.09s
Epoch 42 | Train Loss: 6.8213 | Val Loss: 7.1845 | LS: 0.0223 | LX: 4.4945 | LA: 1.5343 | HGR: -0.0080 | KL: 4.7695 | Ent: -0.0956 | Time: 0.09s
Epoch 43 | Train Loss: 6.7819 | Val Loss: 7.5016 | LS: 0.0218 | LX: 4.4886 | LA: 1.5271 | HGR: 0.0332 | KL: 4.4144 | Ent: -0.0954 | Time: 0.09s
Epoch 44 | Train Loss: 6.7694 | Val Loss: 7.0990 | LS: 0.0151 | LX: 4.4893 | LA: 1.5208 | HGR: 0.0912 | KL: 5.0676 | Ent: -0.0693 | Time: 0.09s
Epoch 45 | Train Loss: 6.7228 | Val Loss: 7.1667 | LS: 0.0176 | LX: 4.4817 | LA: 1.5120 | HGR: 0.1254 | KL: 4.2643 | Ent: -0.0794 | Time: 0.09s
Epoch 46 | Train Loss: 6.6208 | Val Loss: 7.0466 | LS: 0.0140 | LX: 4.4776 | LA: 1.5061 | HGR: -0.0055 | KL: 4.3259 | Ent: -0.0670 | Time: 0.09s
Epoch 47 | Train Loss: 6.6570 | Val Loss: 6.9674 | LS: 0.0112 | LX: 4.4793 | LA: 1.4998 | HGR: 0.1622 | KL: 4.4154 | Ent: -0.0561 | Time: 0.09s
Epoch 48 | Train Loss: 6.5776 | Val Loss: 6.7404 | LS: 0.0142 | LX: 4.4728 | LA: 1.4927 | HGR: 0.0259 | KL: 3.9332 | Ent: -0.0656 | Time: 0.09s
Epoch 49 | Train Loss: 6.6219 | Val Loss: 7.1935 | LS: 0.0149 | LX: 4.4663 | LA: 1.4861 | HGR: 0.1801 | KL: 3.7045 | Ent: -0.0669 | Time: 0.09s
Epoch 50 | Train Loss: 6.6192 | Val Loss: 7.0264 | LS: 0.0095 | LX: 4.4752 | LA: 1.4813 | HGR: 0.1744 | KL: 4.4010 | Ent: -0.0442 | Time: 0.09s
Epoch 51 | Train Loss: 6.5762 | Val Loss: 6.7698 | LS: 0.0098 | LX: 4.4621 | LA: 1.4748 | HGR: 0.1933 | KL: 3.9597 | Ent: -0.0492 | Time: 0.09s
Epoch 52 | Train Loss: 6.5528 | Val Loss: 6.8281 | LS: 0.0120 | LX: 4.4629 | LA: 1.4690 | HGR: 0.1800 | KL: 3.5380 | Ent: -0.0567 | Time: 0.09s
Epoch 53 | Train Loss: 6.4452 | Val Loss: 6.5761 | LS: 0.0085 | LX: 4.4578 | LA: 1.4643 | HGR: 0.0568 | KL: 3.6687 | Ent: -0.0424 | Time: 0.09s
Epoch 54 | Train Loss: 6.5128 | Val Loss: 6.6706 | LS: 0.0067 | LX: 4.4645 | LA: 1.4595 | HGR: 0.2706 | KL: 3.5125 | Ent: -0.0357 | Time: 0.09s
Epoch 55 | Train Loss: 6.4162 | Val Loss: 6.5469 | LS: 0.0091 | LX: 4.4583 | LA: 1.4545 | HGR: 0.1034 | KL: 3.1548 | Ent: -0.0450 | Time: 0.09s
Epoch 56 | Train Loss: 6.4739 | Val Loss: 6.7039 | LS: 0.0062 | LX: 4.4512 | LA: 1.4500 | HGR: 0.3199 | KL: 3.1823 | Ent: -0.0323 | Time: 0.09s
Epoch 57 | Train Loss: 6.4809 | Val Loss: 6.4814 | LS: 0.0053 | LX: 4.4544 | LA: 1.4456 | HGR: 0.3655 | KL: 3.1696 | Ent: -0.0283 | Time: 0.09s
Epoch 58 | Train Loss: 6.4600 | Val Loss: 6.4651 | LS: 0.0067 | LX: 4.4532 | LA: 1.4418 | HGR: 0.3777 | KL: 2.7366 | Ent: -0.0356 | Time: 0.09s
Epoch 59 | Train Loss: 6.4540 | Val Loss: 6.5309 | LS: 0.0074 | LX: 4.4496 | LA: 1.4369 | HGR: 0.3857 | KL: 2.6247 | Ent: -0.0377 | Time: 0.09s
Epoch 60 | Train Loss: 6.4023 | Val Loss: 6.4552 | LS: 0.0056 | LX: 4.4549 | LA: 1.4333 | HGR: 0.3076 | KL: 2.7485 | Ent: -0.0296 | Time: 0.09s
Epoch 61 | Train Loss: 6.4021 | Val Loss: 6.4265 | LS: 0.0054 | LX: 4.4471 | LA: 1.4300 | HGR: 0.3617 | KL: 2.6111 | Ent: -0.0289 | Time: 0.09s
Epoch 62 | Train Loss: 6.3591 | Val Loss: 6.4804 | LS: 0.0093 | LX: 4.4479 | LA: 1.4274 | HGR: 0.2216 | KL: 2.4168 | Ent: -0.0382 | Time: 0.09s
Epoch 63 | Train Loss: 6.2898 | Val Loss: 6.6102 | LS: 0.0072 | LX: 4.4516 | LA: 1.4246 | HGR: 0.1297 | KL: 2.4486 | Ent: -0.0322 | Time: 0.09s
Epoch 64 | Train Loss: 6.3997 | Val Loss: 6.7101 | LS: 0.0050 | LX: 4.4581 | LA: 1.4203 | HGR: 0.3233 | KL: 2.8341 | Ent: -0.0261 | Time: 0.09s
Epoch 65 | Train Loss: 6.4974 | Val Loss: 6.6374 | LS: 0.0052 | LX: 4.4555 | LA: 1.4177 | HGR: 0.3418 | KL: 3.7550 | Ent: -0.0258 | Time: 0.09s
Epoch 66 | Train Loss: 6.3936 | Val Loss: 6.4869 | LS: 0.0052 | LX: 4.4579 | LA: 1.4153 | HGR: 0.2651 | KL: 3.0823 | Ent: -0.0274 | Time: 0.09s
Epoch 67 | Train Loss: 6.3354 | Val Loss: 6.4784 | LS: 0.0063 | LX: 4.4565 | LA: 1.4127 | HGR: 0.2345 | KL: 2.5616 | Ent: -0.0301 | Time: 0.09s
Epoch 68 | Train Loss: 6.3050 | Val Loss: 6.4176 | LS: 0.0038 | LX: 4.4563 | LA: 1.4091 | HGR: 0.2407 | KL: 2.6032 | Ent: -0.0205 | Time: 0.09s
Epoch 69 | Train Loss: 6.3130 | Val Loss: 6.3001 | LS: 0.0061 | LX: 4.4533 | LA: 1.4065 | HGR: 0.2361 | KL: 2.5720 | Ent: -0.0168 | Time: 0.09s
Epoch 70 | Train Loss: 6.2719 | Val Loss: 6.2086 | LS: 0.0041 | LX: 4.4519 | LA: 1.4056 | HGR: 0.2555 | KL: 2.2410 | Ent: -0.0219 | Time: 0.09s
Epoch 71 | Train Loss: 6.2408 | Val Loss: 6.2188 | LS: 0.0058 | LX: 4.4502 | LA: 1.4033 | HGR: 0.1834 | KL: 2.1255 | Ent: -0.0248 | Time: 0.09s
Epoch 72 | Train Loss: 6.2029 | Val Loss: 6.1981 | LS: 0.0033 | LX: 4.4503 | LA: 1.4013 | HGR: 0.1647 | KL: 2.1769 | Ent: -0.0180 | Time: 0.09s
Epoch 73 | Train Loss: 6.1982 | Val Loss: 6.1374 | LS: 0.0037 | LX: 4.4518 | LA: 1.3995 | HGR: 0.1300 | KL: 2.2682 | Ent: -0.0176 | Time: 0.09s
Epoch 74 | Train Loss: 6.1605 | Val Loss: 6.1219 | LS: 0.0030 | LX: 4.4520 | LA: 1.3986 | HGR: 0.1094 | KL: 2.0864 | Ent: -0.0167 | Time: 0.09s
Epoch 75 | Train Loss: 6.1586 | Val Loss: 6.1192 | LS: 0.0052 | LX: 4.4506 | LA: 1.3973 | HGR: 0.0820 | KL: 1.9468 | Ent: -0.0232 | Time: 0.09s
Epoch 76 | Train Loss: 6.1987 | Val Loss: 6.1905 | LS: 0.0039 | LX: 4.4529 | LA: 1.3955 | HGR: 0.1960 | KL: 1.9449 | Ent: -0.0191 | Time: 0.09s
Epoch 77 | Train Loss: 6.2599 | Val Loss: 6.2591 | LS: 0.0058 | LX: 4.4512 | LA: 1.3943 | HGR: 0.2653 | KL: 2.0239 | Ent: -0.0213 | Time: 0.09s
Epoch 78 | Train Loss: 6.1755 | Val Loss: 6.2357 | LS: 0.0019 | LX: 4.4563 | LA: 1.3935 | HGR: 0.1601 | KL: 2.1468 | Ent: -0.0117 | Time: 0.09s
Epoch 79 | Train Loss: 6.1815 | Val Loss: 6.1976 | LS: 0.0035 | LX: 4.4501 | LA: 1.3918 | HGR: 0.1591 | KL: 2.1105 | Ent: -0.0141 | Time: 0.09s
Epoch 80 | Train Loss: 6.1609 | Val Loss: 6.1986 | LS: 0.0072 | LX: 4.4543 | LA: 1.3901 | HGR: 0.0581 | KL: 1.9678 | Ent: -0.0190 | Time: 0.09s
Epoch 81 | Train Loss: 6.1496 | Val Loss: 6.1564 | LS: 0.0035 | LX: 4.4581 | LA: 1.3890 | HGR: 0.1180 | KL: 1.9029 | Ent: -0.0178 | Time: 0.09s
Epoch 82 | Train Loss: 6.3920 | Val Loss: 6.2184 | LS: 0.0217 | LX: 4.4486 | LA: 1.3878 | HGR: 0.2626 | KL: 1.9141 | Ent: -0.0161 | Time: 0.09s
Epoch 83 | Train Loss: 6.1991 | Val Loss: 6.1693 | LS: 0.0040 | LX: 4.4585 | LA: 1.3867 | HGR: 0.1992 | KL: 1.9893 | Ent: -0.0158 | Time: 0.09s
