{'model': 'vgae', 'task': 'train', 'dataset': 'pokec_z', 'dgl_data': False, 'device': 'cuda', 'seed': 0, 'epochs': 200, 'print_every': 1, 'save_every': -1, 'lr': 0.001, 'weight_decay': 0.0005, 'hidden': 64, 'patience': 20, 'warmup': 50, 'dropout': 0.0, 'kd_temp': 4, 'kd_lambda': 0.5, 'hidden_vgae': 256, 'latent_size': 32, 'hgr_steps_per_epoch': 10, 'lambda_hgr': 0.5, 'hidden_hgr': 512, 'channels': 8, 'lambda_dd': 0.1, 'alpha': 0.1, 'beta': 1.0, 'gamma': 5.0, 'adv_steps_per_epoch': 2, 'mask_warmup': 0.4}
--- Starting train VGAE on pokec_z ---
Starting Stage 1 (VGAE) training on pokec_z...
Epoch 81 | Train Loss: 4.4445 | Val Loss: 4.3676 | LS: 0.0917 | LX: 1.5541 | LA: 1.2748 | HGR: -0.0162 | KL: 5.8632 | Ent: -0.1201 | Time: 0.36s
Epoch 82 | Train Loss: 4.3411 | Val Loss: 4.3515 | LS: 0.0845 | LX: 1.5550 | LA: 1.2678 | HGR: -0.0043 | KL: 5.6004 | Ent: -0.1152 | Time: 0.36s
Epoch 83 | Train Loss: 4.2899 | Val Loss: 4.4253 | LS: 0.0806 | LX: 1.5536 | LA: 1.2649 | HGR: -0.0083 | KL: 5.5965 | Ent: -0.1098 | Time: 0.36s
Epoch 84 | Train Loss: 4.3078 | Val Loss: 4.4155 | LS: 0.0813 | LX: 1.5527 | LA: 1.2657 | HGR: -0.0293 | KL: 5.8179 | Ent: -0.1089 | Time: 0.36s
Epoch 85 | Train Loss: 4.3365 | Val Loss: 4.3270 | LS: 0.0842 | LX: 1.5527 | LA: 1.2638 | HGR: -0.0051 | KL: 5.7436 | Ent: -0.1066 | Time: 0.36s
Epoch 86 | Train Loss: 4.2569 | Val Loss: 4.3296 | LS: 0.0801 | LX: 1.5530 | LA: 1.2600 | HGR: -0.0197 | KL: 5.4719 | Ent: -0.1059 | Time: 0.36s
Epoch 87 | Train Loss: 4.2396 | Val Loss: 4.3987 | LS: 0.0789 | LX: 1.5527 | LA: 1.2580 | HGR: -0.0128 | KL: 5.4356 | Ent: -0.1032 | Time: 0.36s
Epoch 88 | Train Loss: 4.2085 | Val Loss: 4.3771 | LS: 0.0750 | LX: 1.5511 | LA: 1.2567 | HGR: -0.0351 | KL: 5.6822 | Ent: -0.1003 | Time: 0.36s
Epoch 89 | Train Loss: 4.2032 | Val Loss: 4.2822 | LS: 0.0755 | LX: 1.5508 | LA: 1.2537 | HGR: -0.0376 | KL: 5.6472 | Ent: -0.0982 | Time: 0.36s
Epoch 90 | Train Loss: 4.1820 | Val Loss: 4.2983 | LS: 0.0763 | LX: 1.5513 | LA: 1.2485 | HGR: -0.0294 | KL: 5.3823 | Ent: -0.0960 | Time: 0.36s
Epoch 91 | Train Loss: 4.0763 | Val Loss: 4.3601 | LS: 0.0672 | LX: 1.5510 | LA: 1.2472 | HGR: -0.0454 | KL: 5.3683 | Ent: -0.0921 | Time: 0.36s
