{'model': 'gcn', 'task': 'train', 'dataset': 'pokec_z', 'dgl_data': False, 'device': 'cpu', 'seed': 0, 'epochs': 200, 'print_every': 1, 'save_every': -1, 'lr': 0.01, 'weight_decay': 0.0005, 'hidden': 64, 'patience': 20, 'warmup': 50, 'dropout': 0.0, 'kd_temp': 4, 'kd_lambda': 0.5, 'hidden_vgae': 64, 'latent_size': 32, 'hgr_steps_per_epoch': 2, 'lambda_hgr': 0.5, 'hidden_hgr': 64, 'channels': 8, 'lambda_dd': 0.1, 'alpha': 0.1, 'beta': 1.0, 'gamma': 5.0, 'adv_steps_per_epoch': 2, 'mask_warmup': 0.4}
--- Starting train GCN on pokec_z ---
Starting GCN training on pokec_z...
Epoch: 103 | Loss: 0.5316 | Val F1: 0.7037191809444212 | Val Acc: 0.7236 | Time: 0.2195s
Epoch: 104 | Loss: 0.5338 | Val F1: 0.7347876004592423 | Val Acc: 0.7298 | Time: 0.2206s
Epoch: 105 | Loss: 0.5322 | Val F1: 0.7229676400947119 | Val Acc: 0.7263 | Time: 0.2202s
Epoch: 106 | Loss: 0.5297 | Val F1: 0.705442459493145 | Val Acc: 0.7236 | Time: 0.2207s
Epoch: 107 | Loss: 0.5317 | Val F1: 0.7308432807085098 | Val Acc: 0.7275 | Time: 0.2197s
Epoch: 108 | Loss: 0.5295 | Val F1: 0.7237721021611002 | Val Acc: 0.7259 | Time: 0.2192s
Epoch: 109 | Loss: 0.5282 | Val F1: 0.7080231596360629 | Val Acc: 0.7248 | Time: 0.2201s
Epoch: 110 | Loss: 0.5295 | Val F1: 0.73279507881584 | Val Acc: 0.7290 | Time: 0.2197s
Epoch: 111 | Loss: 0.5279 | Val F1: 0.7228820269200317 | Val Acc: 0.7271 | Time: 0.2196s
Epoch: 112 | Loss: 0.5264 | Val F1: 0.7149284253578733 | Val Acc: 0.7283 | Time: 0.2195s
Epoch: 113 | Loss: 0.5271 | Val F1: 0.732620320855615 | Val Acc: 0.7271 | Time: 0.2203s
Epoch: 114 | Loss: 0.5270 | Val F1: 0.72 | Val Acc: 0.7298 | Time: 0.2202s
Epoch: 115 | Loss: 0.5254 | Val F1: 0.7237943403746513 | Val Acc: 0.7298 | Time: 0.2211s
Epoch: 116 | Loss: 0.5246 | Val F1: 0.7309761721752498 | Val Acc: 0.7271 | Time: 0.2196s
Epoch: 117 | Loss: 0.5251 | Val F1: 0.7134071340713407 | Val Acc: 0.7275 | Time: 0.2199s
Epoch: 118 | Loss: 0.5253 | Val F1: 0.7314636957356896 | Val Acc: 0.7275 | Time: 0.2201s
Epoch: 119 | Loss: 0.5242 | Val F1: 0.7218887555022009 | Val Acc: 0.7290 | Time: 0.2201s
Epoch: 120 | Loss: 0.5231 | Val F1: 0.7245222929936306 | Val Acc: 0.7302 | Time: 0.2198s
Epoch: 121 | Loss: 0.5226 | Val F1: 0.731839258114374 | Val Acc: 0.7294 | Time: 0.2200s
Epoch: 122 | Loss: 0.5227 | Val F1: 0.7140522875816994 | Val Acc: 0.7271 | Time: 0.2201s
Epoch: 123 | Loss: 0.5231 | Val F1: 0.7309297912713473 | Val Acc: 0.7236 | Time: 0.2193s
Epoch: 124 | Loss: 0.5233 | Val F1: 0.7089337175792507 | Val Acc: 0.7244 | Time: 0.2198s
Early stopping at epoch 124
Training Finished. Total Time: 27.2957s

Restoring best model...
--------------------------------------------------
Test Set Results (pokec_z):
     AUC: 0.7802
Accuracy: 0.7147
F1 Score: 0.7123
Fairness Metrics:
  sp: [-0.0816, 0.0816]
  eo: [-0.0700, 0.0551]
--------------------------------------------------
